"user_id","birthday","date_joined","user_email","gender","password","user_name","authority"
pepe,1994-10-07,2024-06-14 16:23:57.573,dltmdqls15@naver.com,MALE,$2a$10$s2BzsQ34m/TSPLr4LhyRzuqk4TWjJsxZH48bQy236RUUykFoE1nlq,이승빈,ROLE_USER
sampleID001,1995-09-27,2024-06-07 14:41:16.827,sampleEmail001@naver.com,MALE,$2a$10$qz/vUTzoJDtiOwH9nEJ5B.PkTDW1vWchQg93Yy2sV9WFexV9AtIx6,sample001,ROLE_USER
sampleID002,1996-02-12,2024-06-07 14:41:44.296,sampleEmail002@naver.com,MALE,$2a$10$V8Z5zMXQkUQ.0pwkr/euneIDdRPVwyrzRbe4rYEZZ.NbH2hK60F.2,sample002,ROLE_USER
sampleID003,1982-06-30,2024-06-07 14:42:54.678,sampleEmail003@naver.com,FEMALE,$2a$10$eomlKXp3hg7.a2.09R40K.nOmzylyT2AutYllnG/ZV436Bqo3Pmby,sample003,ROLE_USER
sampleID004,1992-05-23,2024-06-07 14:44:01.464,sampleEmail004@naver.com,MALE,$2a$10$JE4A0Il3BUXR7j8.gOav9eiMgD8Wl5diVCrePXOYdwjeMZAa2RyWi,sample004,ROLE_USER
sampleID005,1999-05-30,2024-06-07 14:44:23.655,sampleEmail005@naver.com,FEMALE,$2a$10$SCcASM76.aiXAsrjiGT7GOELJCZ7tyH8NsVC.CcVLSKteItsnOrbW,sample005,ROLE_USER
sampleID006,1996-06-30,2024-06-07 14:44:49.597,sampleEmail006@naver.com,MALE,$2a$10$IKoBk.voxJn9JWxj7kMWUefjV49ZG7/iyf2kHx6CajbcMRWt4CZse,sample006,ROLE_USER
sampleID007,1998-02-22,2024-06-07 14:45:12.010,sampleEmail007@naver.com,MALE,$2a$10$s2dtUnvmZnlOKjIA43v7De9mPQjqK9Je4PUbqvf5YT7HpQh1jtQW6,sample007,ROLE_USER
sampleID008,2002-08-16,2024-06-07 14:45:38.423,sampleEmail008@naver.com,FEMALE,$2a$10$FjtwNrox/DXUMcle1KTuNegbYTdgCc984PBvQqAxb2akxt.iU4E7m,sample008,ROLE_USER
sampleID009,1990-12-31,2024-06-07 14:46:07.759,sampleEmail009@naver.com,FEMALE,$2a$10$rUqRYDOHyMopESyS0cojXuGB11w1K75NCxu8qcVg8uABtmkvlHpwm,sample009,ROLE_USER
sampleID010,1993-07-21,2024-06-07 14:46:39.803,sampleEmail010@naver.com,MALE,$2a$10$/VnUx8dcHsKBUEotwT7qMush0PuZ3OVwpVy1/z7t7kEmvJRDAlGci,sample010,ROLE_USER
sampleID011,1976-10-12,2024-06-07 14:47:07.822,sampleEmail011@naver.com,FEMALE,$2a$10$NmJq6feyFWN9GPc9NvzVBeU1ptARym9uafWexq.if0PS/lH4cBY1.,sample011,ROLE_USER
sampleID012,1968-01-15,2024-06-07 14:47:36.022,sampleEmail012@naver.com,MALE,$2a$10$m9EZLilquAmGdLsjJkC8NOcXLHRnmwjoVXmTHD.gXooVrdsdAtYDe,sample012,ROLE_USER
